tar,username,location,text,tweet_date,hashtags_extracted,text_cleaned
1,SMCOE,San Mateo County,"Have questions about when to vaccinate or get a booster for your child? Supercharge your children 5 and up against COVID-19. 

Find a free vaccine near you at https://t.co/FGCjQ2yCg1 or call 833-422-4255.

#covid19 #staysafe #GetVaccinated https://t.co/taFajtR23K",2022-04-18 23:45:00+00:00,"covid19,staysafe,getvaccinated",Have questions about when to vaccinate or get a booster for your child? Supercharge your children and up against COVID-19. Find a free vaccine near you at or call -422-4255.
1,Bala Dorje,"Somerset, United Kingdom",#COVID19 #Vaccine Supreme Court Declines to Wade Into Military Legal Battle Over Vaccine: The Supreme Court has decided to not intervene with the U.S. Air Force from disciplining a service member after he refused to get the COVID-19 vaccine for… https://t.co/r84QAEkoJ1,2022-04-18 23:40:32+00:00,"covid19,vaccine",Supreme Court Declines to Wade Into Military Legal Battle Over Vaccine The Supreme Court has decided to not intervene with the U.S. Air Force from disciplining a service member after he refused to get the COVID-19 vaccine for
1,Monterey Co Health,"Monterey County, California","Monterey County COVID-19 data (change from 4/14)
* 7 day test positivity rate 1.9% up from 1.4% 
* 7 day average case rate per 100,000 residents 3.1 down from 3.4
More information at https://t.co/CIhgE4PwtA
Looking for a test or vaccine? Visit https://t.co/o3EOW3NMXZ  #COVID19 https://t.co/rNX3YL8yY0",2022-04-18 23:25:27+00:00,covid19,Monterey County COVID-19 data (change from 14)* day test positivity rate  up from  * day average case rate per residents down from More information at for a test or vaccine? Visit
1,foolishnessss,,@ksorbs Stinks tho. Would rather they drop the covid vaccine mandate to enter the USA. What a joke that is. The world is trying to make freedom a thing of the past. #COVID19,2022-04-18 23:04:28+00:00,covid19,Stinks tho. Would rather they drop the covid vaccine mandate to enter the USA. What a joke that is. The world is trying to make freedom a thing of the past.
-1,LLERO_CULTURE,"New York, NY",Could the numbers for the latest #COVID surge be misleading due to undercounting? #COVID19 #COVIDpandemic #Vaccine #Covidvariant https://t.co/lWu9odPH60,2022-04-18 23:00:37+00:00,"covid,covid19,covidpandemic,vaccine,covidvariant",Could the numbers for the latest surge be misleading due to undercounting?
0,ICPHD,Imperial County California,"Get your children 5 and up vaccinated against COVID-19! You can now schedule to get the #COVID19 vaccine at the ICPHD, you can also find other vaccine clinics near you at https://t.co/q12JMFz2W3. https://t.co/5LbyDd9yQP",2022-04-18 22:39:48+00:00,covid19,"Get your children and up vaccinated against COVID-19! You can now schedule to get the vaccine at the ICPHD, you can also find other vaccine clinics near you at ."
-1,RichWritesRants,"Raleigh, NC","@MSJ__76 @CarlinaGrl @lpackard @RepBoebert You claim to be battling cancer and yet ironically appear to be defending the same people who promoted quacks who claimed that #COVID19 was caused by aliens and demon rape. The same people who claimed it was a Democratic hoax, killing off their own voters.
https://t.co/xkQWwLUw2C",2022-04-18 22:32:43+00:00,covid19,"You claim to be battling cancer and yet ironically appear to be defending the same people who promoted quacks who claimed that was caused by aliens and demon rape. The same people who claimed it was a Democratic hoax, killing off their own voters."
1,David Jacobs,Toronto,"The Global projections are looking good. These projections are based on no further interventions.

For your personal protection, I would still highly recommend 3 doses of the COVID-19 vaccine, especially for those over 50 years of age.

#COVID19
https://t.co/1sbmjVPsJV https://t.co/s2RM7t8wsE",2022-04-18 22:22:07+00:00,covid19,"The Global projections are looking good. These projections are based on no further interventions.For your personal protection, I would still highly recommend doses of the COVID-19 vaccine, especially for those over years of age."
-1,Karl Harrison,"British Columbia, Canada","Hard to imagine any other product being allowed to continue with 27,000 deaths on the record in just over a year……. #covid19 #myocarditis #vaccineinjury  https://t.co/EKpTxgDwpy",2022-04-18 21:34:33+00:00,"covid19,myocarditis,vaccineinjury",Hard to imagine any other product being allowed to continue with deaths on the record in just over a year.
0,Maricopa County Public Health,"Maricopa County, Ariz.","@drkeyedangel All vaccine events on our page calendar (https://t.co/VVqTPkVu6A) are organized by MCDPH with contracted vendors who are authorized, and every location on our page's map/list is authorized by the state health department (https://t.co/d6INTUx6kA).",2022-04-18 21:34:11+00:00,,"All vaccine events on our page calendar () are organized by MCDPH with contracted vendors who are authorized, and every location on our page's maplist is authorized by the state health department ()."
0,Chicagoland DPOCC,"Chicago, IL",3 New #COVID19 #Vaccine and #ReOpening Guides Added to #Database https://t.co/1ufVsyTNcs,2022-04-18 21:33:23+00:00,"covid19,vaccine,reopening,database",New and Guides Added to
-1,Alex Martiniuk,,"Effectiveness-after 4th dose #COVID19 vaccine
52% (95% CI 49-54) against PCR confirmed infection
61% (95% CI 58-64) against symptomatic COVID19
72% (95% CI 63-79) against COVID19 related hosp
64% (95% CI 48-77) against severe COVID
76% (95% CI 48-91) against COVID19 related death",2022-04-18 21:32:24+00:00,covid19,Effectiveness-after th dose vaccine52 (95 CI -54) against PCR confirmed infection61 (95 CI -64) against symptomatic COVID1972 (95 CI -79) against COVID19 related hosp64 (95 CI -77) against severe COVID76 (95 CI -91) against COVID19 related death
1,KFF (Kaiser Family Foundation),"San Francisco, CA | Washington DC","Giving employees time off to get vaccinated against #COVID19/recover from side effects could encourage vaccinations, according to public health experts.
 
Just over 1/3 of workers say their employer offers paid time off for these reasons. https://t.co/x80Lv7Bqo3",2022-04-18 21:28:00+00:00,covid19,"Giving employees time off to get vaccinated against recover from side effects could encourage vaccinations, according to public health experts. Just over 3 of workers say their employer offers paid time off for these reasons."
